camis,dba,zipcode,cuisine_description
41620272,EL PUERTO DE ACAPULCO,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50015448,BUDDY BUDDY INC,11354.0,Chinese
50036514,MURASAKI SUSHI,11101.0,Japanese
40867120,GINA'S PIZZA,11377.0,Pizza
50057465,Royal Fried Chicken,,Chicken
41696014,NOISETTE CAFE,11103.0,Bakery
41516545,CENTRO DE BIENESTAR DAYSI,11432.0,"Juice, Smoothies, Fruit Salads"
41013386,LA CASA DEL POLLO PERUANO II,11372.0,Peruvian
40535512,KUM GANG SAN,11354.0,Korean
40545227,ARIYOSHI JAPANESE RESTAURANT,11104.0,Japanese
40931888,EL PEQUENO COFFEE SHOP,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50078237,NEW YORK EMPIRE MEAT INC,11355.0,Korean
50018589,ZHEN GOOD TASTE,11378.0,Chinese
41393998,AVENUE DINER,11421.0,American
50000055,BANGKOK CUISINE,11375.0,Thai
