nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
50078581,09/05/2018,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10.0,A,Cycle Inspection / Initial Inspection
41201903,05/14/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",CRITICAL,10.0,A,Cycle Inspection / Re-inspection
41395535,06/07/2016,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,Cycle Inspection / Initial Inspection
50044265,09/20/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,critical,25.0,,Cycle Inspection / Initial Inspection
50033628,01/03/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,14.0,,Cycle Inspection / Initial Inspection
50051873,07/13/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",CRITICAL,26.0,,Cycle Inspection / Initial Inspection
50016449,02/05/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8.0,A,Cycle Inspection / Initial Inspection
41643866,01/20/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5.0,A,Cycle Inspection / Initial Inspection
41368920,06/21/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10.0,A,Cycle Inspection / Re-inspection
50050924,08/23/2018,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,NOT CRITICAL,12.0,A,Cycle Inspection / Re-inspection
50073080,06/29/2018,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,9.0,A,Pre-permit (Operational) / Initial Inspection
50012067,02/06/2017,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,24.0,B,Cycle Inspection / Re-inspection
